10	0.1183	
11	0.13778	
12	0.15853	
13	0.18052	
14	0.20373	
15	0.22815	
16	0.25377	
17	0.28055	
18	0.3085	
20	0.36781	
22.5	0.44825	
25	0.53559	
27.5	0.62969	
30	0.73043	
32.5	0.8377	
35	0.95141	
37.5	1.07	
40	1.2	
45	1.47	
50	1.76	
55	2.08	
60	2.43	
65	2.79	
70	3.18	
80	4.02	
90	4.95	
100	5.96	
110	7.06	
120	8.24	
130	9.49	
140	10.83	
150	12.24	
160	13.73	
170	15.29	
180	16.93	
200	20.41	
225	25.16	
250	30.34	
275	35.92	
300	41.91	
325	48.28	
350	55.04	
375	62.16	
400	69.63	
