0.08	161.358
0.084145	146.516
0.0885047	132.932
0.0930903	120.505
0.0979135	109.394
0.102987	99.3856
0.108323	89.994
0.113935	81.5669
0.119838	73.981
0.126047	67.2288
0.132578	60.8006
0.139447	55.1358
0.146672	50.0411
0.154272	45.4023
0.162265	41.175
0.170672	37.3398
0.179515	33.8996
0.188816	30.7765
0.198599	27.9526
0.208889	25.365
0.219712	23.0395
0.231096	20.9249
0.243069	19.016
0.255663	17.311
0.26891	15.7456
0.282843	14.3232
0.297497	13.0391
0.312911	11.8808
0.329124	10.8329
0.346177	9.88471
0.364113	9.02545
0.382978	8.25204
0.402821	7.55129
0.423692	6.91701
0.445645	6.34339
0.468735	5.82532
0.493021	5.35652
0.518565	4.93316
0.545433	4.55081
0.573693	4.20569
0.603418	3.89365
0.634682	3.6134
0.667566	3.35954
0.702154	3.13142
0.738535	2.92494
0.7768	2.73893
0.817047	2.57053
0.85938	2.42064
0.903907	2.28388
0.95074	2.16169
1.1	1.87307
1.1583	1.79111
1.21968	1.71731
1.28432	1.65122
1.35238	1.59265
1.42405	1.54237
1.49952	1.49477
1.57899	1.45363
1.66267	1.41703
1.75079	1.38464
1.84357	1.35611
1.94127	1.33127
2.04415	1.30981
2.15248	1.29157
2.26656	1.27573
2.38667	1.26224
2.51316	1.25088
2.64634	1.24162
2.78659	1.23452
2.93427	1.22875
3.08977	1.22351
3.25352	1.22051
3.42594	1.21866
3.6075	1.21794
3.79869	1.21822
