   0   0        2146     44.3885    0.680794     1.01755
   0   1        2187     51.7708    0.457874     1.12228
   0   2        2260     55.7826    0.733405     0.97832
   0   3        2171     54.0745     1.77442     0.86275
   0   4        2417     48.2835   -0.135538    0.961213
   0   5        2326     55.7089     2.37875    0.744034
   0   6        2091     47.1536    0.371757     1.34304
   0   7        2241       49.15     3.00839     0.80174
   0   8        2495     54.9525    0.347531     1.16108
   0   9        2601     53.9252    0.197279     1.78421
   0  10        2562     49.8767    -2.54375     0.90257
   0  11        2659     52.8479    0.646815     1.29245
   0  12        2795     61.2399   -0.917019     1.17507
   0  13        2862     56.7793   0.0751424     1.30279
   0  14        2981     46.4612      1.0189     1.20741
   0  15        2791     35.7097     1.09851      2.5907
   0  16        2663     30.1283     3.56713      1.2764
   0  17        3350     73.0249    -1.30202    0.886457
   0  18        2890     40.5996    0.656777     2.37575
   0  19        2287     47.6031     0.58411     1.25726
   0  20        4145     80.3641   -0.619665     2.62396
   0  21        4365     73.0714     1.26863     6.08617
   0  22        4717     96.2757    0.176407     2.08063
   0  23        5421     102.648 -0.00195927     1.81364
   0  24        5682     111.505   -0.310947     2.20203
   0  25        6012     119.001     0.18352     1.77003
   0  26        5462     85.5197    0.291821     1.87802
   0  27        7163     112.122    0.601199     1.90461
   0  28        7242     156.865    0.543434     1.58111
   0  29        6547     128.189   -0.255591     1.45691
   0  30        9766     172.167    0.147199     1.65063
   0  31       10937     230.487  -0.0255129     1.38522
   0  32       11078      263.78   -0.750794     1.08474
   0  33       12639     332.315   -0.496586    0.996276
   0  34       17296     330.257   -0.450498     1.33828
   0  35       17908     402.069   -0.736562    0.976996
   0  36       25387     490.658    -1.34337     1.16573
   0  37       28778     691.152    -1.16034    0.945521
   0  38       36777     749.583    -1.41588     1.16518
   0  39       46588     1033.07      -1.276    0.990619
   0  40       58654     1377.52    -1.17399    0.977501
   0  41       75434     1853.79    -1.37283     1.01369
   0  42       92206     2320.02    -1.18678     1.04132
   0  43      112313     2562.03    -1.24453     1.12813
   0  44      140126     3244.93    -1.14525     1.09591
   0  45      195496      4172.6    -1.13982     1.11983
   0  46      246826     5366.22     -1.0015     1.11391
   0  47      285730     5851.85   -0.937987     1.16183
   0  48      366857     6507.05   -0.607061     1.30626
   0  49      462931     7011.26   -0.479166     1.42182
   0  50      566449     6657.59    -0.40935     2.23446
   0  51      555682     5698.61   -0.552553      2.9614
   0  52      479286     5004.85    -3.52288     2.17794
   0  53      349021     4189.06    -3.94562     1.82853
   0  54      226366     2476.22    -4.13119     2.25559
   0  55      377817     4585.18    -3.94142     1.86584
   0  56      448527     4966.44    -3.57254     2.05895
   0  57      470331     4609.65    -2.78066     5.23241
   0  58      524058     5192.06   -0.403861     3.87629
   0  59      464989     6997.17   -0.363149     1.85566
   0  60      376714      5745.4    -0.49312     1.73522
   0  61      292344     4822.92   -0.661977      1.7917
   0  62      249637     4167.49   -0.931709     1.65971
   0  63      150407     3242.65    -1.01238     1.37158
   0  64      117022     2473.85    -1.08794     1.26723
   0  65       94084      1987.7    -1.20422     1.35868
   0  66       72478     1439.36    -1.25114     1.49618
