Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - electrical component of [1] - J.F.Ziegler et al	5 - nuclear component of [1] - J.F.Ziegler et al
250.000000	5.72294   	4.41366   	4.59429   	4.45542   	4.41247   	0.00119359
250.083026	5.72185   	4.41286   	4.5935    	4.45458   	4.41167   	0.00119323
250.166052	5.72077   	4.41207   	4.59271   	4.45374   	4.41087   	0.00119288
250.249079	5.7197    	4.41127   	4.59192   	4.45291   	4.41008   	0.00119252
250.332105	5.71862   	4.41048   	4.59113   	4.45207   	4.40928   	0.00119216
250.415131	5.71754   	4.40968   	4.59034   	4.45124   	4.40849   	0.0011918 
250.498157	5.71646   	4.40889   	4.58956   	4.4504    	4.4077    	0.00119144
250.581184	5.71538   	4.40809   	4.58877   	4.44957   	4.4069    	0.00119109
250.664210	5.71431   	4.4073    	4.58798   	4.44873   	4.40611   	0.00119073
250.747236	5.71323   	4.40651   	4.5872    	4.4479    	4.40532   	0.00119037
250.830262	5.71216   	4.40572   	4.58641   	4.44707   	4.40453   	0.00119002
250.913288	5.71108   	4.40492   	4.58563   	4.44624   	4.40373   	0.00118966
250.996315	5.71001   	4.40413   	4.58484   	4.4454    	4.40294   	0.00118931
251.079341	5.70894   	4.40334   	4.58406   	4.44457   	4.40215   	0.00118895
251.162367	5.70786   	4.40255   	4.58328   	4.44374   	4.40136   	0.00118859
251.245393	5.70679   	4.40176   	4.58249   	4.44291   	4.40057   	0.00118824
251.328419	5.70572   	4.40097   	4.58171   	4.44208   	4.39979   	0.00118788
251.411446	5.70465   	4.40018   	4.58093   	4.44126   	4.399     	0.00118753
251.494472	5.70358   	4.3994    	4.58015   	4.44043   	4.39821   	0.00118717
251.577498	5.70251   	4.39861   	4.57937   	4.4396    	4.39742   	0.00118682
251.660524	5.70144   	4.39782   	4.57859   	4.43877   	4.39663   	0.00118646
251.743551	5.70037   	4.39703   	4.57781   	4.43795   	4.39585   	0.00118611
251.826577	5.69931   	4.39625   	4.57703   	4.43712   	4.39506   	0.00118576
251.909603	5.69824   	4.39546   	4.57625   	4.43629   	4.39428   	0.0011854 
251.992629	5.69718   	4.39468   	4.57547   	4.43547   	4.39349   	0.00118505
252.075655	5.69611   	4.39389   	4.57469   	4.43464   	4.39271   	0.0011847 
252.158682	5.69505   	4.39311   	4.57391   	4.43382   	4.39192   	0.00118434
252.241708	5.69398   	4.39232   	4.57314   	4.433     	4.39114   	0.00118399
252.324734	5.69292   	4.39154   	4.57236   	4.43217   	4.39036   	0.00118364
