#analyzed first 3000 events of run3202 (cocktail 100 MeV data)
#extracted saturated pulse, and obtained gaussian mean values for each time bucket bin.
117 260 1 4 8
(value) (rms) (weight)
-15.9549 4.61009 0
-16.0302 4.44746 0
-15.6199 4.53341 0
-15.7074 5.66164 0
-19.6973 13.8226 0
-15.0534 5.42039 0
-16.2297 5.45448 0
-14.994 4.09142 0
-16.0011 4.84753 0
-15.2348 4.60954 0
-15.5105 4.7685 0
-16.1257 4.02266 0
