Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - electrical component of [1] - J.F.Ziegler et al	5 - nuclear component of [1] - J.F.Ziegler et al
250.000000	5.72294   	3.98643   	4.14958   	4.02415   	3.98545   	0.000980051
250.074906	5.72196   	3.98578   	4.14894   	4.02347   	3.9848    	0.000979785
250.149813	5.72099   	3.98513   	4.1483    	4.02278   	3.98416   	0.000979519
250.224719	5.72001   	3.98449   	4.14765   	4.0221    	3.98351   	0.000979254
250.299625	5.71904   	3.98384   	4.14701   	4.02142   	3.98286   	0.000978989
250.374532	5.71807   	3.98319   	4.14637   	4.02074   	3.98221   	0.000978723
250.449438	5.71709   	3.98254   	4.14573   	4.02006   	3.98156   	0.000978458
250.524345	5.71612   	3.9819    	4.14509   	4.01938   	3.98092   	0.000978194
250.599251	5.71515   	3.98125   	4.14444   	4.0187    	3.98027   	0.000977929
250.674157	5.71418   	3.9806    	4.1438    	4.01802   	3.97963   	0.000977664
250.749064	5.71321   	3.97996   	4.14316   	4.01734   	3.97898   	0.0009774 
250.823970	5.71224   	3.97931   	4.14252   	4.01667   	3.97834   	0.000977135
250.898876	5.71127   	3.97867   	4.14188   	4.01599   	3.97769   	0.000976871
250.973783	5.7103    	3.97802   	4.14124   	4.01531   	3.97705   	0.000976607
251.048689	5.70933   	3.97738   	4.14061   	4.01463   	3.9764    	0.000976343
251.123596	5.70836   	3.97673   	4.13997   	4.01396   	3.97576   	0.00097608
251.198502	5.7074    	3.97609   	4.13933   	4.01328   	3.97511   	0.000975816
251.273408	5.70643   	3.97545   	4.13869   	4.0126    	3.97447   	0.000975553
251.348315	5.70546   	3.9748    	4.13805   	4.01193   	3.97383   	0.00097529
251.423221	5.7045    	3.97416   	4.13742   	4.01125   	3.97319   	0.000975027
251.498127	5.70353   	3.97352   	4.13678   	4.01058   	3.97254   	0.000974764
251.573034	5.70257   	3.97288   	4.13614   	4.0099    	3.9719    	0.000974501
251.647940	5.7016    	3.97224   	4.13551   	4.00923   	3.97126   	0.000974238
251.722846	5.70064   	3.97159   	4.13487   	4.00856   	3.97062   	0.000973976
251.797753	5.69968   	3.97095   	4.13424   	4.00788   	3.96998   	0.000973713
251.872659	5.69872   	3.97031   	4.1336    	4.00721   	3.96934   	0.000973451
251.947566	5.69775   	3.96967   	4.13297   	4.00654   	3.9687    	0.000973189
252.022472	5.69679   	3.96903   	4.13233   	4.00586   	3.96806   	0.000972927
252.097378	5.69583   	3.96839   	4.1317    	4.00519   	3.96742   	0.000972665
252.172285	5.69487   	3.96776   	4.13107   	4.00452   	3.96678   	0.000972404
252.247191	5.69391   	3.96712   	4.13043   	4.00385   	3.96614   	0.000972142
252.322097	5.69295   	3.96648   	4.1298    	4.00318   	3.96551   	0.000971881
252.397004	5.69199   	3.96584   	4.12917   	4.00251   	3.96487   	0.00097162
252.471910	5.69104   	3.9652    	4.12854   	4.00184   	3.96423   	0.000971359
252.546816	5.69008   	3.96457   	4.1279    	4.00117   	3.96359   	0.000971098
252.621723	5.68912   	3.96393   	4.12727   	4.0005    	3.96296   	0.000970837
