Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - electrical component of [1] - J.F.Ziegler et al	5 - nuclear component of [1] - J.F.Ziegler et al
255.468165	5.65313   	3.94      	4.10355   	3.97536   	3.93903   	0.00096858
255.543071	5.6522    	3.93937   	4.10293   	3.97471   	3.9384    	0.000968323
255.617978	5.65126   	3.93875   	4.10232   	3.97405   	3.93778   	0.000968066
255.692884	5.65032   	3.93813   	4.1017    	3.9734    	3.93716   	0.000967809
255.767790	5.64939   	3.9375    	4.10108   	3.97274   	3.93654   	0.000967552
255.842697	5.64845   	3.93688   	4.10047   	3.97209   	3.93591   	0.000967295
255.917603	5.64752   	3.93626   	4.09985   	3.97144   	3.93529   	0.000967039
255.992509	5.64658   	3.93564   	4.09923   	3.97079   	3.93467   	0.000966782
256.067416	5.64565   	3.93502   	4.09862   	3.97013   	3.93405   	0.000966526
256.142322	5.64472   	3.9344    	4.098     	3.96948   	3.93343   	0.00096627
256.217228	5.64379   	3.93378   	4.09739   	3.96883   	3.93281   	0.000966014
256.292135	5.64285   	3.93316   	4.09678   	3.96818   	3.93219   	0.000965758
256.367041	5.64192   	3.93254   	4.09616   	3.96753   	3.93157   	0.000965502
256.441948	5.64099   	3.93192   	4.09555   	3.96688   	3.93095   	0.000965246
256.516854	5.64006   	3.9313    	4.09493   	3.96623   	3.93034   	0.000964991
256.591760	5.63913   	3.93068   	4.09432   	3.96558   	3.92972   	0.000964736
256.666667	5.6382    	3.93006   	4.09371   	3.96493   	3.9291    	0.00096448
256.741573	5.63727   	3.92945   	4.0931    	3.96428   	3.92848   	0.000964225
256.816479	5.63634   	3.92883   	4.09248   	3.96364   	3.92786   	0.00096397
256.891386	5.63542   	3.92821   	4.09187   	3.96299   	3.92725   	0.000963716
256.966292	5.63449   	3.92759   	4.09126   	3.96234   	3.92663   	0.000963461
