10	0.004784	
11	0.004449	
12	0.004162	
13	0.003914	
14	0.003697	
15	0.003505	
16	0.003334	
17	0.003181	
18	0.003043	
20	0.002803	
22.5	0.002557	
25	0.002355	
27.5	0.002186	
30	0.002042	
32.5	0.001918	
35	0.00181	
37.5	0.001715	
40	0.001631	
45	0.001489	
50	0.001372	
55	0.001275	
60	0.001193	
65	0.001122	
70	0.001061	
80	0.0009597	
90	0.0008795	
100	0.0008142	
110	0.0007601	
120	0.0007144	
130	0.0006753	
140	0.0006416	
150	0.000612	
160	0.000586	
170	0.0005629	
180	0.0005423	
200	0.0005069	
225	0.0004713	
250	0.0004426	
275	0.000419	
300	0.0003993	
325	0.0003826	
350	0.0003683	
375	0.0003559	
400	0.0003451	
