10	0.05293	
11	0.04958	
12	0.04668	
13	0.04413	
14	0.04189	
15	0.03988	
16	0.03808	
17	0.03646	
18	0.03498	
20	0.0324	
22.5	0.02972	
25	0.02749	
27.5	0.0256	
30	0.02398	
32.5	0.02258	
35	0.02135	
37.5	0.02025	
40	0.01928	
45	0.01762	
50	0.01624	
55	0.01509	
60	0.0141	
65	0.01325	
70	0.01251	
80	0.01127	
90	0.01027	
100	0.009459	
110	0.008777	
120	0.008198	
130	0.0077	
140	0.007265	
150	0.006884	
160	0.006545	
170	0.006243	
180	0.005972	
200	0.005503	
225	0.005025	
250	0.004635	
275	0.004311	
300	0.004037	
325	0.003802	
350	0.003598	
375	0.00342	
400	0.003262	
