0	1	8664.91574
1	1	7825.03207
1	2	14101.77785
1	3	16049.27767
2	3	16029.31914
1	4	27806.424
2	4	2603.25415
3	4	27185.558
1	5	35311.488
2	5	12223.624
3	5	12537.8
1	6	44942.594
2	6	18889.124
3	6	15122.794
4	6	19726.317
2	7	28020.618
3	7	16004.548
4	7	16929.828
5	7	29917.901
2	8	33921.897
3	8	22487.362
4	8	5305.103
5	8	24607.233
6	8	37675.025
2	9	43950.286
3	9	26789.505
4	9	12182.201
5	9	13328.782
6	9	31036.689
2	10	52398.837
3	10	35481.259
4	10	13533.818
5	10	12936.992
6	10	16853.228
7	10	41653.674
3	11	43797.715
4	11	21657.749
5	11	9305.406
6	11	11433.613
7	11	26090.956
4	12	26920.737
5	12	14352.104
6	12	0
7	12	18613.197
8	12	34404.895
4	13	35693.007
5	13	17780.217
6	13	3354.83778
7	13	5738.609
8	13	24812.213
4	14	42892.92
5	14	25404.009
6	14	3241.9887
7	14	3074.00478
8	14	8596.25
5	15	31103.021
6	15	10599.256
7	15	108.89823
8	15	3065.617
9	15	18009.103
5	16	39808.829
6	16	14701.252
7	16	6101.658
8	16	994914.6196
9	16	11465.724
10	16	25761.262
5	17	46989.906
6	17	22586.116
7	17	8450.261
8	17	999131.703
9	17	2095.237
10	17	17671.504
6	18	26759.354
7	18	14078.959
8	18	999161.001
9	18	937.956
10	18	5708.213
11	18	25969
6	19	34805.018
7	19	17028.697
8	19	3580.13
9	19	998403.224
10	19	1880.248
11	19	13877.499
12	19	35470
6	20	40319.754
7	20	23365.807
8	20	4076.742
9	20	999981.315
10	20	992440.1754
11	20	7351.328
12	20	18862.545
