                0.01            0.137352           0.0048784         1.72672e-11
               0.011            0.144094           0.0045309         2.69269e-11
               0.012            0.150541           0.0042339         2.76103e-11
               0.013            0.156729          0.00397785         1.72672e-11
               0.014            0.162689          0.00375425         5.96451e-12
               0.015            0.168443          0.00355834         4.69285e-12
               0.016            0.174014           0.0033844         1.58342e-11
               0.017            0.179416          0.00322743          4.3168e-12
               0.018            0.184667          0.00308541         2.26188e-11
                0.02            0.194759          0.00283972         8.92307e-12
              0.0225            0.206709           0.0025879          1.2175e-11
               0.025            0.218033          0.00237942         1.53728e-11
              0.0275            0.228826          0.00220541          1.0733e-11
                0.03            0.239158          0.00205812         7.12895e-12
              0.0325            0.249086          0.00193065          7.2468e-12
               0.035            0.258658          0.00181935         1.03103e-11
              0.0375            0.267912          0.00172381         6.40945e-12
                0.04            0.276879          0.00164079         1.05137e-11
               0.045            0.294057          0.00149912          8.2831e-12
                0.05            0.310366          0.00138223          7.9171e-12
               0.055            0.325937          0.00128466         5.12426e-12
                0.06             0.34087          0.00120223          6.7002e-12
               0.065            0.355247          0.00113139          7.2468e-12
                0.07            0.369132          0.00106962         6.84095e-12
                0.08            0.395631          0.00096757         5.35661e-12
                0.09            0.420701         0.000886641         4.88086e-12
                 0.1            0.444583         0.000821011         4.36557e-12
                0.11            0.467461         0.000766392         2.18279e-12
                0.12            0.489475         0.000720292         4.54383e-12
                0.13            0.510735         0.000680899         3.66697e-12
                0.14            0.531334         0.000646809         3.48943e-12
                0.15            0.551345          0.00061702         3.10403e-12
                0.16             0.57083         0.000590776         3.98521e-13
                0.17            0.589841         0.000567466         1.19556e-12
                0.18            0.608422         0.000546635         2.38003e-12
                 0.2            0.644445         0.000510972         6.90258e-13
               0.225            0.687639         0.000475006         3.80512e-12
                0.25            0.729134         0.000446037         2.08352e-12
               0.275            0.769204         0.000422224         2.03857e-12
                 0.3            0.808061         0.000402327          2.7849e-12
               0.325            0.845873         0.000385474         2.15226e-12
                0.35            0.882774         0.000371032          1.7141e-12
               0.375            0.918874         0.000358533         1.56052e-12
                 0.4            0.954263         0.000347627         1.01603e-12
