0	10	1.2	
0	11	1.42	
0	12	1.65	
0	13	1.9	
0	14	2.16	
0	15	2.43	
0	16	2.72	
0	17	3.03	
0	18	3.35	
0	20	4.03	
0	22.5	4.96	
0	25	5.98	
0	27.5	7.07	
0	30	8.25	
0	32.5	9.51	
0	35	10.84	
0	37.5	12.26	
0	40	13.74	
0	45	16.94	
0	50	20.42	
0	55	24.19	
0	60	28.23	
0	65	32.53	
0	70	37.09	
0	80	46.97	
0	90	57.81	
0	100	69.59	
0	110	82.25	
0	120	95.77	
0	130	110.12	
0	140	125.26	
0	150	141.16	
0	160	157.8	
0	170	175.15	
0	180	193.18	
0	200	231.2	
0	225	282.19	
0	250	336.76	
0	275	394.63	
0	300	455.57	
0	325	519.35	
0	350	585.76	
0	375	654.61	
0	400	725.75	
4	10	0.1183	
4	11	0.13778	
4	12	0.15853	
4	13	0.18052	
4	14	0.20373	
4	15	0.22815	
4	16	0.25377	
4	17	0.28055	
4	18	0.3085	
4	20	0.36781	
4	22.5	0.44825	
4	25	0.53559	
4	27.5	0.62969	
4	30	0.73043	
4	32.5	0.8377	
4	35	0.95141	
4	37.5	1.07	
4	40	1.2	
4	45	1.47	
4	50	1.76	
4	55	2.08	
4	60	2.43	
4	65	2.79	
4	70	3.18	
4	80	4.02	
4	90	4.95	
4	100	5.96	
4	110	7.06	
4	120	8.24	
4	130	9.49	
4	140	10.83	
4	150	12.24	
4	160	13.73	
4	170	15.29	
4	180	16.93	
4	200	20.41	
4	225	25.16	
4	250	30.34	
4	275	35.92	
4	300	41.91	
4	325	48.28	
4	350	55.04	
4	375	62.16	
4	400	69.63	
